Song Name,song Artist,Rank_class,URI,Source,Peak Rank_class,Previous Rank_class,Weeks on Chart_class,Streams_class,next rank_class,Top 10 Count_class,Top 100 Count_class,times popular_class,now popular,language
סטלות,Omer Adam,0,spotify:track:2KBtuxA73fMKyj37wr1XKM,P.A.I LTD,3,1,1,1,0,1,3,1,0,0
מפת העולם,Peer Tasi,1,spotify:track:0KING5MxpAvRENMUzhkBtc,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,0,1,1,1,0,0
אם רק תדברי,Peer Tasi,1,spotify:track:0KING5MxpAvRENMUzhkBtc,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,2,1,1,1,0,0
שוב אני בדד,Eyal Golan,3,spotify:track:1EZj3gwDRCDVTxJAIGUtMQ,Liam Productions under exclusive license to D-Music,2,2,1,1,2,1,1,1,0,0
Revenge,Eyal Golan,3,spotify:track:1EZj3gwDRCDVTxJAIGUtMQ,Liam Productions under exclusive license to D-Music,2,2,1,1,0,1,1,1,0,1
מה לעשות עם הזאב,Alma Gov,1,spotify:track:6ClLC1FYoL8orfOrcknQkk,Universal Music Israel Distributed Labels,2,1,1,1,0,1,2,1,0,0
יאללה יא נסראללה,Alma Gov,1,spotify:track:6ClLC1FYoL8orfOrcknQkk,Universal Music Israel Distributed Labels,2,1,1,1,3,1,1,1,0,0
בראש השנה,Alma Gov,1,spotify:track:6ClLC1FYoL8orfOrcknQkk,Universal Music Israel Distributed Labels,2,1,1,1,3,1,1,1,0,0
כפיות,Eden Hason,0,spotify:track:02hXZxgl6XwtAdK9y2sb6B,Mobile1 Music,3,0,2,1,1,1,1,1,0,0
שיהיה לך טוב,Noa Kirel,2,spotify:track:6Uk0HOyZ3MVw0Mg55Gvxj8,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,0,1,1,1,1,1,1,1,0,0
עוד לא נגמר,Osher Cohen,2,spotify:track:2tVQnp6k62bMTsWQJYvQXz,Helicon Aroma Music Ltd. / P.A.I Ltd.,2,1,1,1,0,1,1,1,0,0
איך את אוהבת,Osher Cohen,2,spotify:track:2tVQnp6k62bMTsWQJYvQXz,Helicon Aroma Music Ltd. / P.A.I Ltd.,2,1,1,1,0,1,1,1,0,0
A+ (feat. Ravid Plotnik),"Noga Erez, Ravid Plotnik",3,spotify:track:34R5dih7V1DWiuuUxH2tcj,Atlantic Records/Neon Gold,1,3,1,1,0,1,1,1,0,1
משקפיים,"Noa Kirel, Itay Galo",1,spotify:track:5OQrgklT1x9uOr2ee5hlHB,Noa Kirel / Itay Galo / Tal Castiel Music & Ent under exclusive license to D-Music,2,1,1,1,0,1,1,1,0,0
חלל,"Noa Kirel, Itay Galo",1,spotify:track:5OQrgklT1x9uOr2ee5hlHB,Noa Kirel / Itay Galo / Tal Castiel Music & Ent under exclusive license to D-Music,2,1,1,1,2,1,1,1,0,0
אני,Omer Adam,2,spotify:track:5qbezFG8xCtoyUfOcjHUXv,P.A.I LTD,3,0,1,1,2,1,1,1,0,0
שיחות שלום,Omer Adam,2,spotify:track:5qbezFG8xCtoyUfOcjHUXv,P.A.I LTD,3,0,1,1,2,1,1,1,0,0
אני שלך,Avraham Tal,0,spotify:track:5rg4MXC9LBysvrBLrt6i3O,Digistage,0,1,1,1,2,1,1,1,0,0
GODMOTHER (feat. Eden Ben Zaken),Avraham Tal,0,spotify:track:5rg4MXC9LBysvrBLrt6i3O,Digistage,0,1,1,1,2,1,1,1,0,1
יהונתן,Avraham Tal,0,spotify:track:5rg4MXC9LBysvrBLrt6i3O,Digistage,0,1,1,1,1,1,1,1,0,0
It's ok I'm ok,Tate McRae,0,spotify:track:24XihnoVPWXlKJ4BgXqjVM,RCA Records Label,0,3,1,1,1,1,1,1,0,1
מעונה לעונה,Tate McRae,0,spotify:track:24XihnoVPWXlKJ4BgXqjVM,RCA Records Label,0,3,1,1,1,1,1,1,0,0
גושפנקא,"E-Z, Noa Kirel",1,spotify:track:5I0WaR0LpN4Kn1zwbvd145,Unicell,3,3,1,1,0,1,1,1,0,0
Numb,Linkin Park,2,spotify:track:2nLtzopw4rPReszdYBJU6h,Warner Records,0,1,1,1,0,1,1,1,0,1
September,Linkin Park,2,spotify:track:2nLtzopw4rPReszdYBJU6h,Warner Records,0,1,1,1,0,1,1,1,0,1
Demons,Imagine Dragons,0,spotify:track:5qaEfEh1AtSdrdrByCP7qR,Kid Ina Korner / Interscope,2,0,1,1,0,1,1,1,0,1
Hymn for the Weekend,Imagine Dragons,0,spotify:track:5qaEfEh1AtSdrdrByCP7qR,Kid Ina Korner / Interscope,2,0,1,1,0,1,1,1,0,1
הכל טוב אחי,Imagine Dragons,0,spotify:track:5qaEfEh1AtSdrdrByCP7qR,Kid Ina Korner / Interscope,2,0,1,1,0,1,1,1,0,0
ALL RED,Imagine Dragons,0,spotify:track:5qaEfEh1AtSdrdrByCP7qR,Kid Ina Korner / Interscope,2,0,1,1,3,1,1,1,0,1
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",2,spotify:track:7iabz12vAuVQYyekFIWJxD,Columbia,2,2,1,1,2,1,1,1,0,1
Yamore,"MoBlack, Salif Keita, Benja (NL), Franc Fala, Cesária Evora",2,spotify:track:480j122Gpi252OIfy4SNzm,Universal Music Division Decca Records France,0,1,1,1,2,1,1,1,0,1
Skyfall,Adele,0,spotify:track:6VObnIkLVruX4UVyxWhlqm,XL Recordings/Columbia,0,0,1,1,2,1,1,1,0,1
Someone Like You,Adele,1,spotify:track:5lkpeJwmQKgY3bX2zChjxX,XL Recordings,0,0,1,1,1,1,1,1,0,1
פזמון אחר,Eyal Golan,1,spotify:track:5sUTab2UduAG5tZSjrFsaN,Liam Productions under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,0
מתי את חוזרת,Eyal Golan,1,spotify:track:5sUTab2UduAG5tZSjrFsaN,Liam Productions under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,0
Evergreen,Richy Mitch & The Coal Miners,0,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,1,0,1,1,0,1,1,1,0,1
Rolling in the Deep,Adele,2,spotify:track:6IAZHEBUIGJ6NJKxxOBIEr,XL Recordings,0,1,1,1,0,1,1,1,0,1
נזכרה בי,Peer Tasi,1,spotify:track:4YboX8Ua3NErCD3ActvWM9,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,0,1,1,1,0,0
Dancing In The Flames,Peer Tasi,1,spotify:track:4YboX8Ua3NErCD3ActvWM9,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,0,1,1,1,0,1
i like the way you kiss me,Artemas,2,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,2,1,1,1,2,1,1,1,0,1
MILLION DOLLAR BABY,Tommy Richman,2,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,PULSE Records,2,2,1,1,1,1,1,1,0,1
סן דייגו,Tommy Richman,2,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,PULSE Records,2,2,1,1,0,1,1,1,0,0
על קו הזינוק,Tommy Richman,2,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,PULSE Records,2,2,1,1,0,1,1,1,0,0
Forever Young,Alphaville,1,spotify:track:4S1VYqwfkLit9mKVY3MXoo,WM Germany,0,0,1,1,0,1,1,1,0,1
עוד טיפה,Alphaville,1,spotify:track:4S1VYqwfkLit9mKVY3MXoo,WM Germany,0,0,1,1,3,1,1,1,0,0
Don't Look Back in Anger - Remastered,Alphaville,1,spotify:track:4S1VYqwfkLit9mKVY3MXoo,WM Germany,0,0,1,1,2,1,1,1,0,1
Big Dawgs,"Hanumankind, Kalmi",2,spotify:track:0OA00aPt3BV10qeMIs3meW,Universal Music India Pvt Ltd.,0,1,1,1,2,1,1,1,0,1
Vehi,"Hanumankind, Kalmi",2,spotify:track:0OA00aPt3BV10qeMIs3meW,Universal Music India Pvt Ltd.,0,1,1,1,2,1,1,1,0,1
משוגעת,"Gal Adam, NOROZ",2,spotify:track:3idINUuyRidKbQiMFt6EkU,P.A.I LTD / NOROZ under exclusive license to D-Music,3,2,1,1,2,1,1,1,0,0
Take on Me,a-ha,0,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,Rhino,0,1,1,1,2,1,1,1,0,1
אין מספיק זמן,Yoshi,2,spotify:track:3MB1afOMzspYZUHF5cB0dq,Universal Music Israel Distributed Labels,0,0,1,1,1,1,1,1,0,0
יום חדש,Yoshi,2,spotify:track:3MB1afOMzspYZUHF5cB0dq,Universal Music Israel Distributed Labels,0,0,1,1,1,1,1,1,0,0
KEHLANI,Jordan Adetunji,1,spotify:track:2hrycoFU1mZw6YPvMcn8yC,300 Entertainment,0,0,1,1,1,1,1,1,0,1
LUNCH,Billie Eilish,1,spotify:track:629DixmZGHc7ILtEntuiWE,Darkroom/Interscope Records,3,1,1,1,0,1,1,1,0,1
מחשבות,Billie Eilish,1,spotify:track:629DixmZGHc7ILtEntuiWE,Darkroom/Interscope Records,3,1,1,1,0,1,1,1,0,0
חמישי שישי,"Osher Cohen, Nadav Navi Aharoni",1,spotify:track:57BFhpG4Iq4Zgnoz2X6zbT,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,3,1,1,0,1,1,1,0,0
Way down We Go,KALEO,0,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,Elektra (NEK),0,0,1,1,0,1,1,1,0,1
38 וחוץ מכדורגל,KALEO,0,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,Elektra (NEK),0,0,1,1,0,1,1,1,0,0
Lifamim,KALEO,0,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,Elektra (NEK),0,0,1,1,2,1,1,1,0,1
שאריות מעצמי,KALEO,0,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,Elektra (NEK),0,0,1,1,2,1,1,1,0,0
Cruel Summer,Taylor Swift,1,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,1,0,1,1,0,1,1,1,0,1
Have You Ever Seen The Rain,Creedence Clearwater Revival,1,spotify:track:2LawezPeJhN4AWuSB0GtAU,Craft Recordings,0,0,1,1,0,1,1,1,0,1
greedy,Tate McRae,0,spotify:track:3rUGC1vUpkDG9CZFHMur1t,RCA Records Label,3,0,1,1,0,1,2,1,0,1
עד שיירד הסהר,Osher Cohen,1,spotify:track:1pizAMAnDm5kDUSBKY3SPk,Helicon Aroma Music Ltd./ P.A.I Ltd.,3,1,1,1,3,1,1,1,0,0
Apple,Charli xcx,2,spotify:track:19RybK6XDbAVpcdxSbZL1o,Atlantic Records,0,3,1,1,2,1,1,1,0,1
Houdini,Eminem,2,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Shady/Aftermath/Interscope Records,3,2,1,1,2,1,1,1,0,1
Belong Together,Mark Ambor,0,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,"Hundred Days Records, LLC",0,0,1,1,1,1,1,1,0,1
המצב של היום,Mark Ambor,0,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,"Hundred Days Records, LLC",0,0,1,1,1,1,1,1,0,0
שעתיים,Mark Ambor,0,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,"Hundred Days Records, LLC",0,0,1,1,0,1,1,1,0,0
Blinding Lights,The Weeknd,0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Republic Records,3,0,3,1,0,1,1,1,0,1
fukumean,Gunna,0,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,300 Entertainment,2,3,1,1,0,1,1,1,0,1
דובשנייה,Gunna,0,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,300 Entertainment,2,3,1,1,0,1,1,1,0,0
בגלגול הבא,Odeya,0,spotify:track:1b8Zi0VlYH3M7eeXQZ7APz,Helicon Aroma Music Ltd.,1,0,1,1,0,1,1,1,0,0
Stargazing,Myles Smith,1,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,RCA Records Label,0,0,1,1,2,1,1,1,0,1
FIELD TRIP,Myles Smith,1,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,RCA Records Label,0,0,1,1,2,1,1,1,0,1
Where Are You Now,Myles Smith,1,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,RCA Records Label,0,0,1,1,2,1,1,1,0,1
Slow It Down,Myles Smith,1,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,RCA Records Label,0,0,1,1,1,1,1,1,0,1
I Don't Wanna Wait,Myles Smith,1,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,RCA Records Label,0,0,1,1,0,1,1,1,0,1
טן טן טן,Ofek Adanek,0,spotify:track:5FGZ7S2rqgXeqkPR2jyO1R,2019 Level Up and Up Company BY PIL LTD,0,3,1,1,0,1,1,1,0,0
Did It First (with Central Cee),"Ice Spice, Central Cee",1,spotify:track:57lsYy0OZLNb5OQ7fEa3Hs,10K Projects/Capitol Records,0,3,1,1,0,1,1,1,0,1
בחורה טובה,"Osher Cohen, Lior Narkis",3,spotify:track:2LWF1rZLLwaHhpC4T9ra9i,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,3,1,1,3,1,1,1,0,0
Vienna,Billy Joel,1,spotify:track:4U45aEWtQhrm8A5mxPaFZ7,Columbia/Legacy,0,3,1,1,2,1,1,1,0,1
ליבי,Peer Tasi,2,spotify:track:21sUkbh9rQ8p4luwW9nCpH,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,2,1,1,1,0,0
Dust in the Wind,Peer Tasi,2,spotify:track:21sUkbh9rQ8p4luwW9nCpH,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,1
חורף באילת,Eden Hason,1,spotify:track:7b6htbJnRzDhQL0RyptHvU,Mobile1 Music,0,1,1,1,0,1,1,1,0,0
Watermelon Sugar,Harry Styles,1,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Columbia,3,1,3,1,0,1,1,1,0,1
רבות הדרכים / עושה לי צרות - Live,Harry Styles,1,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Columbia,3,1,3,1,0,1,1,1,0,1
נשימה,Chen Aharoni,2,spotify:track:4bm2aZg3iiqMjO3MIiyhAo,Mobile1 Music,1,3,1,1,1,1,1,1,0,0
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",0,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,Epic,0,3,1,1,1,1,1,1,0,1
Kvish Hachof,Static & Ben El,0,spotify:track:3l82VKxo78MFrFOZkAKD4u,Mobile1 Music,0,3,1,1,0,1,1,1,0,1
Renaissance,Static & Ben El,0,spotify:track:3l82VKxo78MFrFOZkAKD4u,Mobile1 Music,0,3,1,1,3,1,1,1,0,1
Habits,Static & Ben El,0,spotify:track:3l82VKxo78MFrFOZkAKD4u,Mobile1 Music,0,3,1,1,3,1,1,1,0,1
Tobey (feat. Big Sean and BabyTron),"Eminem, Big Sean, BabyTron",2,spotify:track:4KWeGKChLKcnZsj3sIOSkW,Shady/Aftermath/Interscope Records,0,3,1,1,2,1,1,1,0,1
Fuel,"Eminem, Big Sean, BabyTron",2,spotify:track:4KWeGKChLKcnZsj3sIOSkW,Shady/Aftermath/Interscope Records,0,3,1,1,2,1,1,1,0,1
Brand New Dance,"Eminem, Big Sean, BabyTron",2,spotify:track:4KWeGKChLKcnZsj3sIOSkW,Shady/Aftermath/Interscope Records,0,3,1,1,1,1,1,1,0,1
מה עשית לי,Eden Hason,2,spotify:track:3LBSTYr6obFNcK0iICM0Dg,Mobile1 Music,1,1,1,1,1,1,1,1,0,0
בנות כמוני לא בוכות,Noa Kirel,0,spotify:track:2gwiDHH38cpSXuMU6Iu53d,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,2,0,1,1,0,1,1,1,0,0
Tough,"Quavo, Lana Del Rey",2,spotify:track:22DH8NChecsgPxDjA4pqer,Quality Control Music/Motown Records,0,3,1,1,0,1,1,1,0,1
קריוקי,"Tuna, Peer Tasi",0,spotify:track:6xhxulJ4BXNlnDmw3KpDP0,NaNa Disc,2,3,1,1,0,1,1,1,0,0
I Ain't Worried,OneRepublic,2,spotify:track:4fYte8ZvTK14NEhAOZocBi,Mosley Music/Interscope Records,3,1,1,1,2,1,1,1,0,1
שלום אהובתי,Eyal Golan,0,spotify:track:5E8VSBEyekvkqIrDs5IOio,Liam Productions under exclusive license to D-Music,3,1,1,1,2,1,1,1,0,0
יוני,Peer Tasi,1,spotify:track:2BOZaITgFVIcnfSD524zo4,Peer Tasi LTD under exclusive license to D-Music,0,0,1,1,0,1,1,1,0,0
Like That,"Future, Metro Boomin, Kendrick Lamar",0,spotify:track:2tudvzsrR56uom6smgOcSf,Wilburn Holding Co./Boominati/Epic/Republic,2,0,1,1,0,1,1,1,0,1
ללמוד לעוף,Akiva,3,spotify:track:7pLU1N4f871QqtSckS8nvB,2024 Akiva Turgeman | Or Davidson by PIL ltd,1,0,1,1,2,1,1,1,0,0
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",0,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,Taylor Swift,2,0,1,1,0,1,1,1,0,1
באך,"Taylor Swift, Post Malone",0,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,Taylor Swift,2,0,1,1,3,1,1,1,0,0
Without Me,Eminem,1,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Aftermath,1,1,1,1,0,1,1,1,0,1
L’AMOUR DE MA VIE,Billie Eilish,1,spotify:track:6fPan2saHdFaIHuTSatORv,Darkroom/Interscope Records,1,2,1,1,1,1,1,1,0,1
BLUE,Billie Eilish,2,spotify:track:2prqm9sPLj10B4Wg0wE5x9,Darkroom/Interscope Records,1,2,1,1,1,1,1,1,0,1
גפרור,Peer Tasi,2,spotify:track:68H86iRZFd5IWbDrjGTa4t,Peer Tasi LTD under exclusive license to D-Music,0,3,1,1,1,1,1,1,0,0
vampire,Peer Tasi,2,spotify:track:68H86iRZFd5IWbDrjGTa4t,Peer Tasi LTD under exclusive license to D-Music,0,3,1,1,0,1,1,1,0,1
The Code,Nemo,3,spotify:track:1EjIXKhNHI00ZLMRpS8iz8,Better Now Records,2,2,1,2,3,1,1,1,0,1
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",2,spotify:track:3w0w2T288dec0mgeZZqoNN,YZY,2,2,1,1,2,1,1,1,0,1
euphoria,Kendrick Lamar,3,spotify:track:77DRzu7ERs0TX3roZcre7Q,"Kendrick Lamar, under exclusive license to Interscope Records",3,2,1,1,2,1,1,1,0,1
אינטלקטוערסית,Odeya,0,spotify:track:4E5fqKktoOAT3shxlolPBm,Helicon Aroma Music Ltd.,3,1,1,1,1,1,1,1,0,0
שיר לטל,Odeya,0,spotify:track:4E5fqKktoOAT3shxlolPBm,Helicon Aroma Music Ltd.,3,1,1,1,0,1,1,1,0,0
Mon amour,Slimane,3,spotify:track:4BVcVEp6Df9VQN5qFwxDn3,Universal Music Division Capitol Music France,2,2,1,1,0,1,1,1,0,1
THE GREATEST,Billie Eilish,3,spotify:track:6TGd66r0nlPaYm3KIoI7ET,Darkroom/Interscope Records,1,3,1,1,3,1,1,1,0,1
בובה,Noam Bettan,2,spotify:track:5edYMsNo852Zw29Qni9p8t,Zaav Music / Noam Bettan under exclusive license to D-Music,3,1,1,1,3,1,1,1,0,0
SKINNY,Billie Eilish,3,spotify:track:1CsMKhwEmNnmvHUuO5nryA,Darkroom/Interscope Records,2,3,1,2,3,1,1,1,0,1
Rim Tim Tagi Dim,Baby Lasagna,3,spotify:track:5TswDbxMnxptgFTf6ZxvXQ,Polydor / Universal Music Hrvatska,2,2,1,1,2,1,1,1,0,1
נשמה שלי את,אבירם עמר,2,spotify:track:3kgOZqPw2xurllVbuNxg8E,Session42,1,2,1,1,2,1,1,1,0,0
Water,Tyla,1,spotify:track:5aIVCx5tnk0ntmdiinnYvw,FAX Records/Epic,1,0,1,1,1,1,1,1,0,1
לא תראה אותי בוכה,Eden Hason,2,spotify:track:5JGVm5Xshr1IlNlW9phZFQ,Mobile1 Music,2,2,1,1,1,1,1,1,0,0
THE DINER,Billie Eilish,3,spotify:track:1LLUoftvmTjVNBHZoQyveF,Darkroom/Interscope Records,1,3,1,1,1,1,1,1,0,1
הכי יפה בעולם,Billie Eilish,3,spotify:track:1LLUoftvmTjVNBHZoQyveF,Darkroom/Interscope Records,1,3,1,1,0,1,1,1,0,0
BITTERSUITE,Billie Eilish,3,spotify:track:1LLUoftvmTjVNBHZoQyveF,Darkroom/Interscope Records,1,3,1,1,3,1,1,1,0,1
Teresa & Maria,"alyona alyona, Jerry Heil",3,spotify:track:7n3Czk07KugPQOWuqCHDmF,ENKO,1,3,1,1,3,1,1,1,0,1
la noia,Angelina Mango,3,spotify:track:49R1F3rIdSzuPk7AcHi6d1,Latarma S.r.l.,1,3,1,1,3,1,1,1,0,1
I Can Do It With a Broken Heart,Taylor Swift,2,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,2,2,1,1,2,1,1,1,0,1
TEXAS HOLD 'EM,Beyoncé,2,spotify:track:7wLShogStyDeZvL0a6daN5,Parkwood Entertainment/Columbia,2,1,1,1,2,1,1,1,0,1
Europapa,Joost,3,spotify:track:0uHrMbMv3c78398pIANDqR,Joost Klein,0,3,1,1,2,1,1,1,0,1
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",1,spotify:track:7221xIgOnuakPdLqT0F3nP,Mercury Records/Republic Records,0,3,1,1,1,1,1,1,0,1
Unforgettable,Marcus & Martinus,2,spotify:track:5L8C1PZGCpZf8STcN79H5j,Universal Music AB,0,3,1,1,1,1,1,1,0,1
אז מה עכשיו,Marcus & Martinus,2,spotify:track:5L8C1PZGCpZf8STcN79H5j,Universal Music AB,0,3,1,1,0,1,1,1,0,0
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",0,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,XO / Republic Records,0,0,1,1,0,1,1,1,0,1
Family Matters,Drake,2,spotify:track:1wFFFzJ5EsKbBWZriAcubN,OVO/Republic,1,2,1,1,0,1,1,1,0,1
"What Was I Made For? [From The Motion Picture ""Barbie""]",Drake,2,spotify:track:1wFFFzJ5EsKbBWZriAcubN,OVO/Republic,1,2,1,1,0,1,1,1,0,1
אצלנו בגן,Drake,2,spotify:track:1wFFFzJ5EsKbBWZriAcubN,OVO/Republic,1,2,1,1,3,1,1,1,0,0
כאב של לוחמים,Drake,2,spotify:track:1wFFFzJ5EsKbBWZriAcubN,OVO/Republic,1,2,1,1,3,1,1,1,0,0
שושנים עצובות (ישראל בידור),Drake,2,spotify:track:1wFFFzJ5EsKbBWZriAcubN,OVO/Republic,1,2,1,1,3,1,1,1,0,0
meet the grahams,Kendrick Lamar,3,spotify:track:4S8PxReB1UiDR2F5x1lyIR,Kendrick Lamar under exclusive license to Interscope Records,1,3,1,1,3,1,1,1,0,1
אם מחר אני מת,Kendrick Lamar,3,spotify:track:4S8PxReB1UiDR2F5x1lyIR,Kendrick Lamar under exclusive license to Interscope Records,1,3,1,1,3,1,1,1,0,0
Fighter - Eurovision Version,Kendrick Lamar,3,spotify:track:4S8PxReB1UiDR2F5x1lyIR,Kendrick Lamar under exclusive license to Interscope Records,1,3,1,1,2,1,1,1,0,1
חתולים שחורים,Kendrick Lamar,3,spotify:track:4S8PxReB1UiDR2F5x1lyIR,Kendrick Lamar under exclusive license to Interscope Records,1,3,1,1,2,1,1,1,0,0
בין העיר לפרדס,Tuna,3,spotify:track:5rqeYyQ1EpbEJKkH4cgncs,NaNa Disc,2,2,1,1,2,1,1,1,0,0
שלחי אותו,Tuna,3,spotify:track:5rqeYyQ1EpbEJKkH4cgncs,NaNa Disc,2,2,1,1,2,1,1,1,0,0
If We Being Rëal,Yeat,2,spotify:track:0YThXX1dqUpYBLyJNAsF9N,Field Trip Recordings/Capitol Records,0,1,1,1,2,1,1,1,0,1
שום דבר לא יפגע בי,Yeat,2,spotify:track:0YThXX1dqUpYBLyJNAsF9N,Field Trip Recordings/Capitol Records,0,1,1,1,2,1,1,1,0,0
תחזור (Tachzor),Yeat,2,spotify:track:0YThXX1dqUpYBLyJNAsF9N,Field Trip Recordings/Capitol Records,0,1,1,1,1,1,1,1,0,1
שבורי לב,Yeat,2,spotify:track:0YThXX1dqUpYBLyJNAsF9N,Field Trip Recordings/Capitol Records,0,1,1,1,1,1,1,1,0,0
Tell Ur Girlfriend,Lay Bankz,3,spotify:track:3lMzT16MjAKKXF7pSZn13B,"Artist Partner Group, Inc.",1,2,1,1,1,1,1,1,0,1
Unicorn,Lay Bankz,3,spotify:track:3lMzT16MjAKKXF7pSZn13B,"Artist Partner Group, Inc.",1,2,1,1,1,1,1,1,0,1
סגול בהיר,Lay Bankz,3,spotify:track:3lMzT16MjAKKXF7pSZn13B,"Artist Partner Group, Inc.",1,2,1,1,1,1,1,1,0,0
עד שתחזור,Lay Bankz,3,spotify:track:3lMzT16MjAKKXF7pSZn13B,"Artist Partner Group, Inc.",1,2,1,1,1,1,1,1,0,0
Pedro,"Jaxomy, Agatino Romero, Raffaella Carrà",0,spotify:track:48lxT5qJF0yYyf2z4wB4xW,Columbia/B1 Recordings/Ultra Records,0,0,1,1,0,1,1,1,0,1
הנסיך הקטן,"Jaxomy, Agatino Romero, Raffaella Carrà",0,spotify:track:48lxT5qJF0yYyf2z4wB4xW,Columbia/B1 Recordings/Ultra Records,0,0,1,1,0,1,1,1,0,0
Push Ups,Drake,3,spotify:track:3eh51r6rFWAlGQRlHx9QnQ,OVO/Republic,1,2,1,1,3,1,1,1,0,1
Lovin On Me,Jack Harlow,3,spotify:track:4xhsWYTOGcal8zt0J161CU,Generation Now/Atlantic,2,1,1,1,2,1,1,1,0,1
Down Bad,Taylor Swift,3,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,1,2,1,1,1,1,1,1,0,1
Strangers,Kenya Grace,1,spotify:track:593knnQN4REEshx8th9zgK,Major Recordings/Warner Records,3,0,1,1,1,1,1,1,0,1
צונאמי,"Jasmin Moallem, Mergui",0,spotify:track:6W6ssWo1mqA9bLTo47Alsz,Helicon Music,3,0,1,1,1,1,1,1,0,0
Babydoll,"Jasmin Moallem, Mergui",0,spotify:track:6W6ssWo1mqA9bLTo47Alsz,Helicon Music,3,0,1,1,0,1,1,1,0,1
One Dance,"Jasmin Moallem, Mergui",0,spotify:track:6W6ssWo1mqA9bLTo47Alsz,Helicon Music,3,0,1,1,0,1,1,1,0,1
"So Long, London",Taylor Swift,3,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,1,3,1,1,3,1,1,1,0,1
My Boy Only Breaks His Favorite Toys,Taylor Swift,3,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,1,3,1,2,3,1,1,1,0,1
Who’s Afraid of Little Old Me?,Taylor Swift,3,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,1,3,1,1,3,1,1,1,0,1
קומה 58,Omer Adam,3,spotify:track:4C7cg72gU51s1IT4wh7Vp9,P.A.I LTD,2,2,1,1,2,1,1,1,0,0
Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",3,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,Taylor Swift,1,3,1,1,2,1,1,1,0,1
בסוף הכל חולף,Omer Adam,2,spotify:track:5R5wL4rbWPKeUrFGyvc5Nu,P.A.I LTD,0,1,1,1,1,1,1,1,0,0
The Tortured Poets Department,Taylor Swift,3,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,1,3,1,1,1,1,1,1,0,1
