Song Name,song Artist,Rank_class,URI,Source,Peak Rank_class,Previous Rank_class,Weeks on Chart_class,Streams_class,next rank_class,Top 10 Count_class,Top 100 Count_class,times popular_class,now popular,language
בלי לבחור,Idan Amedi,1,spotify:track:3rXeukorvha6no0byAiMTn,Helicon Aroma Music Ltd. / Snype Production Ltd.,0,3,1,1,1,1,1,1,0,0
לילה,Omer Adam,2,spotify:track:6FbmUqAPNiQ5IXxMTNKV3u,P.A.I LTD,2,2,1,1,1,1,1,1,0,0
שיר לאמא,Omer Adam,2,spotify:track:6FbmUqAPNiQ5IXxMTNKV3u,P.A.I LTD,2,2,1,1,0,1,1,1,0,0
עזבת ת'בית,"Peled, Nastia Rod",1,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,Mobile1 Music,3,1,1,1,0,1,3,1,0,0
Here Comes The Sun - Remastered 2009,The Beatles,1,spotify:track:6dGnYIeXmHdcikdzNNDMm2,EMI Catalogue,1,0,3,1,0,1,1,1,0,1
רכבת לצפון,The Beatles,1,spotify:track:6dGnYIeXmHdcikdzNNDMm2,EMI Catalogue,1,0,3,1,0,1,1,1,0,0
לב יפה,Ron Buhnik,0,spotify:track:79frUUdqTcE1Qll6Twt8Ds,Mobile1 Music,2,0,1,1,2,1,1,1,0,0
לב,Ron Buhnik,0,spotify:track:79frUUdqTcE1Qll6Twt8Ds,Mobile1 Music,2,0,1,1,2,1,1,1,0,0
Losing My Religion,Ron Buhnik,0,spotify:track:79frUUdqTcE1Qll6Twt8Ds,Mobile1 Music,2,0,1,1,1,1,1,1,0,1
lovely (with Khalid),"Billie Eilish, Khalid",0,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Darkroom,1,0,3,1,1,1,1,1,0,1
End of Beginning,Djo,0,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,2,0,1,1,1,1,1,1,0,1
Someone You Loved,Lewis Capaldi,0,spotify:track:7qEHsqek33rTcFNT9PFqLf,Vertigo Berlin,3,0,3,1,1,1,1,1,0,1
כפרה שלי,Ravid Plotnik,0,spotify:track:7mBGGsJwx4o8NiqWfmAJ96,NaNa Disc,2,0,2,1,0,1,1,1,0,0
עדיין ריק,Ravid Plotnik,0,spotify:track:7mBGGsJwx4o8NiqWfmAJ96,NaNa Disc,2,0,2,1,0,1,1,1,0,0
Kill Bill,SZA,0,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Top Dawg Entertainment/RCA Records,3,1,1,1,0,1,1,1,0,1
Ma Meilleure Ennemie (from the series Arcane League of Legends),SZA,0,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Top Dawg Entertainment/RCA Records,3,1,1,1,0,1,1,1,0,1
כד קטן,Yorik Ben David,2,spotify:track:3W2ivfrQP1kG0Uh5IBJn7P,NMC United Entertainment Ltd.,1,3,1,1,3,1,1,1,0,0
Lucid Dreams,Juice WRLD,2,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD Mixtape / ISR P&D,3,1,3,1,2,1,1,1,0,1
סביבון,Hana Laszlo,2,spotify:track:58NBSNdG8s0jSikjPRmdjS,NMC United Entertainment Ltd.,1,3,1,1,2,1,1,1,0,0
אין מרחק בינינו,Eden Hason,2,spotify:track:5vrzcGVyLeru7vHm89EvRr,Mobile1 Music,1,1,1,1,1,1,1,1,0,0
Hurricane,Eden Golan,0,spotify:track:2Ozw7k5CLtM5W9SomrOyjw,Session42,3,3,1,1,1,1,1,1,0,1
לא נגמר,Eden Golan,0,spotify:track:2Ozw7k5CLtM5W9SomrOyjw,Session42,3,3,1,1,1,1,1,1,0,0
מלאך של כבוד,Omer Adam,1,spotify:track:5dDkX66Ov8pqr1l9Cyk02l,P.A.I LTD,2,1,1,1,0,1,1,1,0,0
מעליות,"Dudu Tassa, Roni Alter",1,spotify:track:2FMwWEcq2uWnc6ILvodlta,Hed Arzi Ltd.,1,0,3,1,3,1,1,1,0,0
באנו חושך לגרש,"Dudu Tassa, Roni Alter",1,spotify:track:2FMwWEcq2uWnc6ILvodlta,Hed Arzi Ltd.,1,0,3,1,1,1,1,1,0,0
